n,max_flow,electrical_alg,ratio
224,8.074348201,8.074348201,1
225,7.523283563,7.523283563,1
225,6.370527983,6.370527983,1
226,5.045563627,5.045563627,1
227,7.724958288,7.724958288,1
227,5.265497465,5.265497465,1
228,6.330613162,6.330613162,1
228,6.578357005,6.578357005,1
228,9.202670605,9.202670605,1
229,6.699039627,6.699039627,1
229,7.429193269,7.429193269,1
229,4.565607541,4.565607541,1
229,4.915853901,4.915853901,1
230,7.65812913,7.65812913,1
230,8.423140108,8.423140108,1
231,6.570272151,6.570272151,1
231,16.89351183,16.89351183,1
231,6.570272151,6.570272151,1
232,5.672132127,5.672132127,1
234,6.6260459,6.6260459,1
235,7.163314354,7.163314354,1
235,7.058075596,7.058075596,1
236,5.682348558,5.682348558,1
236,8.842107334,8.842107334,1
237,5.130666205,5.130666205,1
237,5.620060011,5.620060011,1
238,7.692065713,7.692065713,1
238,6.510369941,6.510369941,1
238,8.382227425,8.382227425,1
238,6.422971504,6.422971504,1
239,6.715296102,6.715296102,1
239,6.955236647,6.955236647,1
239,7.456020888,7.456020888,1
239,5.751328072,5.751328072,1
239,6.715296102,6.715296102,1
240,7.068358538,7.068358538,1
241,6.943124719,6.943124719,1
242,5.986429148,5.986429148,1
242,5.920932165,5.920932165,1
242,7.855036052,7.855036052,1
242,9.807248674,9.807248674,1
242,7.604879291,7.604879291,1
243,5.008110527,5.008110527,1
243,7.697826545,7.697826545,1
244,7.072970611,7.072970611,1
244,7.068623781,7.068623781,1
244,11.1344227,11.1344227,1
244,6.624751205,6.624751205,1
246,7.395275804,7.395275804,1
246,5.142398135,5.142398135,1
246,6.995554494,6.995554494,1
247,6.070642916,6.070642916,1
248,7.576247308,7.576247308,1
248,5.747226109,5.747226109,1
248,7.531925287,7.531925287,1
248,5.872676012,5.872676012,1
248,6.469651293,6.469651293,1
248,7.844977589,7.844977589,1
249,8.400114148,8.400114148,1
249,7.45634935,7.45634935,1
249,7.934377415,7.934377415,1
249,7.511380732,7.511380732,1
249,5.218267634,5.218267634,1
249,6.815934026,6.815934026,1
249,4.789909037,4.789909037,1
250,7.112009358,7.112009358,1
250,7.327558096,7.327558096,1
250,8.373515203,8.373515203,1
251,8.086318451,8.086318451,1
251,6.947759261,6.947759261,1
251,7.062092305,7.062092305,1
251,7.605408503,7.605408503,1
251,7.920591162,7.920591162,1
251,8.940993588,8.940993588,1
251,6.517487275,6.517487275,1
252,6.847914333,6.847914333,1
253,6.215987944,6.215987944,1
253,7.227969004,7.227969004,1
254,8.873122121,8.873122121,1
254,5.411312363,5.411312363,1
254,6.030115265,6.030115265,1
254,4.313505109,4.313505109,1
254,5.569673083,5.569673083,1
255,8.595844024,8.595844024,1
256,6.509196469,6.509196469,1
256,5.920695377,5.920695377,1
256,8.361810518,8.361810518,1
258,5.728820968,5.728820968,1
258,10.42199604,10.42199604,1
258,6.551830548,6.551830548,1
260,8.32851321,8.32851321,1
260,8.209022053,8.209022053,1
260,5.958256808,5.958256808,1
261,6.869729589,6.869729589,1
261,6.479412317,6.479412317,1
261,10.81136676,10.81136676,1
262,6.427774022,6.427774022,1
262,5.06126406,5.06126406,1
263,9.57352855,9.57352855,1
263,8.734296859,8.734296859,1
263,9.043988044,9.043988044,1
264,7.580646612,7.580646612,1
264,5.593339206,5.593339206,1
264,7.309114319,7.309114319,1
265,8.907252481,8.907252481,1
266,6.983656889,6.983656889,1
267,8.036483965,8.036483965,1
267,6.625779502,6.625779502,1
267,4.510458131,4.510458131,1
267,9.241043646,9.241043646,1
267,8.036483965,8.036483965,1
268,7.315620526,7.315620526,1
269,6.748028702,6.748028702,1
269,6.197207689,6.197207689,1
269,6.729519435,6.729519435,1
270,8.547526592,8.547526592,1
271,7.977284347,7.977284347,1
271,6.034109176,6.034109176,1
271,7.05868506,7.05868506,1
272,6.754454208,6.754454208,1
272,7.594927495,7.594927495,1
273,7.876747914,7.876747914,1
274,5.970675069,5.970675069,1
275,7.159968955,7.159968955,1
276,6.743639099,6.743639099,1
276,6.711900394,6.711900394,1
277,9.227498216,9.227498216,1
277,6.374653557,6.374653557,1
278,6.577228255,6.577228255,1
278,8.91377253,8.91377253,1
278,6.082761133,6.082761133,1
279,6.225614495,6.225614495,1
279,6.771062149,6.771062149,1
281,7.178911295,7.178911295,1
281,6.202585259,6.202585259,1
281,8.057036863,8.057036863,1
282,7.283349571,7.283349571,1
282,7.498624349,7.498624349,1
282,6.64842972,6.64842972,1
282,6.642584861,6.642584861,1
283,11.11742965,11.11742965,1
283,8.021645113,8.021645113,1
283,13.8165364,13.8165364,1
283,9.489173094,9.489173094,1
283,6.859125533,6.859125533,1
283,6.77397883,6.77397883,1
284,7.069862864,7.069862864,1
284,8.39434775,8.39434775,1
284,3.499902922,3.499902922,1
284,4.96426624,4.96426624,1
284,6.835104404,6.835104404,1
286,6.191092613,6.191092613,1
287,8.196687283,8.196687283,1
287,8.988179565,8.988179565,1
287,7.702790692,7.702790692,1
287,7.589944015,7.589944015,1
288,7.761447962,7.761447962,1
288,7.735886681,7.735886681,1
288,5.969714001,5.969714001,1
288,6.843284087,6.843284087,1
290,6.40590152,6.40590152,1
290,7.863025105,7.863025105,1
